text|source|paragraphID|chunk_id|chapter|article|paragraph
"6. The Commission shall adopt delegated acts in accordance with Article 97(2) to amend 
Annexes XI and XII in the light of evolving technological developments."|json|5.3.7|5.3.7|Unknown|Unknown|Unknown
"7. Any information or documentation obtained pursuant to this Article, including trade 
secrets, shall be treated in compliance with the confidentiality obligations set out in 
Article 78."|json|5.3.8|5.3.8|Unknown|Unknown|Unknown
"Article 54
Authorised representatives of providers of general-purpose AI models"|json|5.4.1|5.4.1|Unknown|Unknown|Unknown
"1. Prior to placing a general-purpose AI model on the Union market, providers established 
in third countries shall, by written mandate, appoint an authorised representative which 
is established in the Union."|json|5.4.2|5.4.2|Unknown|Unknown|Unknown
"2. The provider shall enable its authorised representative to perform the tasks specified in 
the mandate received from the provider."|json|5.4.3|5.4.3|Unknown|Unknown|Unknown
"2. The authorised representative shall perform the tasks specified in the mandate received 
from the provider. It shall provide a copy of the mandate to the AI Office upon request, 
in one of the official languages of the institutions of the Union. For the purposes of this 
Regulation, the mandate shall empower the authorised representative to carry out the 
following tasks: (a) verify that the technical documentation specified in Annex XI has been drawn up 
and all obligations referred to in Articles 53 and, where applicable, Article 55 have 
been fulfilled by the provider; (b) keep a copy of the technical documentation specified in Annex XI at the disposal 
of the AI Office and national competent authorities, for a period of 10 years after 
the general-purpose AI model has been placed on the market, and keep current the 
contact details of the provider that appointed the authorised representative; (c) provide the AI Office, upon a reasoned request, with all the information and 
documentation, including that referred to in point (b), necessary to demonstrate its 
compliance with the obligations in this Chapter; (d) cooperate with the AI Office and national competent authorities, upon a reasoned 
request, in any action the latter take in relation to a general-purpose AI model with 
systemic risks, including when the model is integrated into AI systems placed on 
the market or put into service in the Union."|json|5.4.4|5.4.4|Unknown|Unknown|Unknown
"3. The mandate shall empower the authorised representative to be addressed, in addition to 
or instead of the provider, by the AI Office or the national competent authorities, on all 
issues related to ensuring compliance with this Regulation."|json|5.4.5|5.4.5|Unknown|Unknown|Unknown
"4. The authorised representative shall terminate the mandate if it considers or has reason 
to consider the provider to be acting contrary to its obligations pursuant to this 
Regulation. In such a case, it shall also immediately inform the AI Office about the 
termination of the mandate and the reasons therefor."|json|5.4.6|5.4.6|Unknown|Unknown|Unknown
"5. The obligation set out in this Article shall not apply to providers of general-purpose AI 
models that are released under a free and open source licence that allows for the access, 
usage, modification, and distribution of the model, and whose parameters, including the 
weights, the information on the model architecture, and the information on model 
usage, are made publicly available, unless the general-purpose AI models present 
systemic risks.
Section 3
Obligations for providers of general-purpose AI models
 with systemic risk"|json|5.4.7|5.4.7|Unknown|Unknown|Unknown
"Article 55
Obligations for providers of general-purpose AI models with systemic risk"|json|5.5.1|5.5.1|Unknown|Unknown|Unknown
"1. In addition to the obligations listed in Article 53, providers of general-purpose AI models 
with systemic risk shall: (a) perform model evaluation in accordance with standardised protocols and tools 
reflecting the state-of-the-art, including conducting and documenting adversarial 
testing of the model with a view to identifying and mitigating systemic risk; (b) assess and mitigate possible systemic risks at Union level, including their sources, 
that may stem from the development, the placing on the market, or the use of 
general-purpose AI models with systemic risk; (c) keep track of, document and report without undue delay to the AI Office and, as 
appropriate, to national competent authorities, relevant information about serious 
incidents and possible corrective measures to address them; (d) ensure an adequate level of cybersecurity protection for the general-purpose AI 
model with systemic risk and the physical infrastructure of the model."|json|5.5.2|5.5.2|Unknown|Unknown|Unknown
"2. Providers of general-purpose AI models with systemic risk may rely on codes of practice 
within the meaning of Article 56 to demonstrate compliance with the obligations set out 
in paragraph 1 of this Article, until a harmonised standard is published. Providers who 
are in compliance with a European harmonised standard shall be presumed to be in 
compliance with the obligations set out in paragraph 1 of this Article. Providers of 
general-purpose AI models with systemic risks who do not adhere to an approved code of 
practice shall demonstrate alternative adequate means of compliance for approval by the 
Commission."|json|5.5.3|5.5.3|Unknown|Unknown|Unknown
"3. Any information or documentation obtained pursuant to this Article, including trade 
secrets, shall be treated in compliance with the confidentiality obligations set out in 
Article 78."|json|5.5.4|5.5.4|Unknown|Unknown|Unknown
"Article 56
Codes of practice"|json|5.6.1|5.6.1|Unknown|Unknown|Unknown
"1. The AI Office shall encourage and facilitate the drawing up of codes of practice at 
Union level in order to contribute to the proper application of this Regulation, taking 
into account international approaches."|json|5.6.2|5.6.2|Unknown|Unknown|Unknown
"2. The AI Office and the Board shall aim to ensure that the codes of practice cover at least 
the obligations provided for in Articles 53 and 55, including the following issues: (a) means to ensure that the information referred to in Article 53(1), points (a) and (b), 
is kept up to date in the light of market and technological developments; (b) the adequate level of detail for the summary about the content used for training; (c) the identification of the type and nature of the systemic risks at Union level, 
including their sources, where appropriate; (d) the measures, procedures and modalities for the assessment and management of 
the systemic risks at Union level, including the documentation thereof, which shall 
be proportionate to the risks, take into consideration their severity and probability 
and take into account the specific challenges of tackling those risks in the light of 
the possible ways in which such risks may emerge and materialise along the AI 
value chain."|json|5.6.3|5.6.3|Unknown|Unknown|Unknown
"3. The AI Office may invite all providers of general-purpose AI models, as well as relevant 
national competent authorities, to participate in the drawing-up of codes of practice. 
Civil society organisations, industry, academia and other relevant stakeholders, such as 
downstream providers and independent experts, may support the process."|json|5.6.4|5.6.4|Unknown|Unknown|Unknown
"4. The AI Office and the Board shall aim to ensure that the codes of practice clearly set out 
their specific objectives and contain commitments or measures, including key 
performance indicators as appropriate, to ensure the achievement of those objectives, 
and that they take due account of the needs and interests of all interested parties, 
including affected persons, at Union level."|json|5.6.5|5.6.5|Unknown|Unknown|Unknown
"5. The AI Office shall aim to ensure that participants to the codes of practice report 
regularly to the AI Office on the implementation of the commitments and the measures 
taken and their outcomes, including as measured against the key performance indicators 
as appropriate. Key performance indicators and reporting commitments shall reflect 
differences in size and capacity between various participants."|json|5.6.6|5.6.6|Unknown|Unknown|Unknown
"6. The AI Office and the Board shall regularly monitor and evaluate the achievement of 
the objectives of the codes of practice by the participants and their contribution to the 
proper application of this Regulation. The AI Office and the Board shall assess whether 
the codes of practice cover the obligations provided for in Articles 53 and 55, as well as 
the issues listed in paragraph 2 of this Article, and shall regularly monitor and evaluate 
the achievement of their objectives. They shall publish their assessment of the adequacy 
of the codes of practice. 
The Commission may, by way of an implementing act, approve a code of practice and 
give it a general validity within the Union. That implementing act shall be adopted in 
accordance with the examination procedure referred to in Article 98(2)."|json|5.6.7|5.6.7|Unknown|Unknown|Unknown
"7. The AI Office may invite all providers of general-purpose AI models to adhere to the 
codes of practice. For providers of general-purpose AI models not presenting systemic 
risks this adherence may be limited to the obligations provided for in Article 53, unless 
they declare explicitly their interest to join the full code."|json|5.6.8|5.6.8|Unknown|Unknown|Unknown
"8. The AI Office shall, as appropriate, also encourage and facilitate the review and 
adaptation of the codes of practice, in particular in the light of emerging standards. The 
AI Office shall assist in the assessment of available standards."|json|5.6.9|5.6.9|Unknown|Unknown|Unknown
"9. Codes of practice shall be ready at the latest by … [nine months from the date of entry into 
force of this Regulation]. The AI Office shall take the necessary steps, including inviting 
providers pursuant to paragraph 7. 
If, by ... [12 months from the date of entry into force], a code of practice cannot be 
finalised, or if the AI Office deems it is not adequate following its assessment under 
paragraph 6 of this Article, the Commission may provide, by means of implementing 
acts, common rules for the implementation of the obligations provided for in Articles 53 
and 55, including the issues set out in paragraph 2 of this Article. Those implementing 
acts shall be adopted in accordance with the examination procedure referred to in 
Article 98(2)."|json|5.6.10|5.6.10|Unknown|Unknown|Unknown
