chapter_number,chapter_title,article_number,article_id,article_title,paragraph_number,paragraph_id,point_number,text
1,General provisions,2,1.2,Scope,5,1.2.5,1,"3. This Regulation does not apply to areas outside the scope of Union law, and shall not, in 
any event, affect the competences of the Member States concerning national security, 
regardless of the type of entity entrusted by the Member States with carrying out tasks in 
relation to those competences.
This Regulation does not apply to AI systems where and in so far they are placed on the 
market, put into service, or used with or without modification exclusively for military, 
defence or national security purposes, regardless of the type of entity carrying out those 
activities.
This Regulation does not apply to AI systems which are not placed on the market or put 
into service in the Union, where the output is used in the Union exclusively for military, 
defence or national security purposes, regardless of the type of entity carrying out those 
activities."
1,General provisions,2,1.2,Scope,6,1.2.6,1,"4. This Regulation applies neither to public authorities in a third country nor to international 
organisations falling within the scope of this Regulation pursuant to paragraph 1, where 
those authorities or organisations use AI systems in the framework of international 
cooperation or agreements for law enforcement and judicial cooperation with the Union or 
with one or more Member States, provided that such a third country or international 
organisation provides adequate safeguards with respect to the protection of fundamental 
rights and freedoms of individuals."
1,General provisions,2,1.2,Scope,7,1.2.7,1,"5. This Regulation shall not affect the application of the provisions on the liability of 
providers of intermediary services as set out in Chapter II of Regulation (EU) 2022/2065."
1,General provisions,2,1.2,Scope,8,1.2.8,1,"6. This Regulation does not apply to AI systems or AI models, including their output, 
specifically developed and put into service for the sole purpose of scientific research and 
development."
1,General provisions,2,1.2,Scope,9,1.2.9,1,"7. Union law on the protection of personal data, privacy and the confidentiality of 
communications applies to personal data processed in connection with the rights and 
obligations laid down in this Regulation. This Regulation shall not affect Regulation 
(EU) 2016/679 or (EU) 2018/1725, or Directive 2002/58/EC or (EU) 2016/680, without 
prejudice to the arrangements provided for in Article 10(5) and Article 59 of this 
Regulation."
1,General provisions,2,1.2,Scope,10,1.2.10,1,"8. This Regulation does not apply to any research, testing or development activity 
regarding AI systems or models prior to their being placed on the market or put into 
service. Such activities shall be conducted in accordance with applicable Union law. 
Testing in real world conditions shall not be covered by that exclusion."
1,General provisions,2,1.2,Scope,11,1.2.11,1,"9. This Regulation is without prejudice to the rules laid down by other Union legal acts 
related to consumer protection and product safety."
1,General provisions,2,1.2,Scope,12,1.2.12,1,"10. This Regulation does not apply to obligations of deployers who are natural persons 
using AI systems in the course of a purely personal non-professional activity."
1,General provisions,2,1.2,Scope,13,1.2.13,1,"11. This Regulation does not preclude the Union or Member States from maintaining or 
introducing laws, regulations or administrative provisions which are more favourable to 
workers in terms of protecting their rights in respect of the use of AI systems by 
employers, or from encouraging or allowing the application of collective agreements 
which are more favourable to workers."
1,General provisions,2,1.2,Scope,14,1.2.14,1,"12. This Regulation applies to AI systems released under free and open source licences, 
unless they are placed on the market or put into service as high-risk AI systems or as an 
AI system that falls under Article 5 or 50."
1,General provisions,3,1.3,Definitions,1,1.3.1,1,"Article 3
Definitions
For the purposes of this Regulation, the following definitions apply:"
1,General provisions,3,1.3,Definitions,2,1.3.2,1,"(1) ‘AI system’ means a machine-based system designed to operate with varying levels of 
autonomy, that may exhibit adaptiveness after deployment and that, for explicit or 
implicit objectives, infers, from the input it receives, how to generate outputs such as 
predictions, content, recommendations, or decisions that can influence physical or virtual 
environments;"
1,General provisions,3,1.3,Definitions,3,1.3.3,1,"(2) ‘risk’ means the combination of the probability of an occurrence of harm and the 
severity of that harm;"
1,General provisions,3,1.3,Definitions,4,1.3.4,1,"(3) ‘provider’ means a natural or legal person, public authority, agency or other body that 
develops an AI system or a general-purpose AI model or that has an AI system or a 
general-purpose AI model developed and places it on the market or puts the AI system 
into service under its own name or trademark, whether for payment or free of charge;"
1,General provisions,3,1.3,Definitions,5,1.3.5,1,"(4) ‘deployer’ means a natural or legal person, public authority, agency or other body using an 
AI system under its authority  except where the AI system is used in the course of a 
personal non-professional activity;"
1,General provisions,3,1.3,Definitions,6,1.3.6,1,"(5) ‘authorised representative’ means a natural or legal person located or established in the 
Union who has received and accepted a written mandate from a provider of an AI system 
or a general-purpose AI model to, respectively, perform and carry out on its behalf the 
obligations and procedures established by this Regulation;"
1,General provisions,3,1.3,Definitions,7,1.3.7,1,"(6) ‘importer’ means a natural or legal person located or established in the Union that places 
on the market  an AI system that bears the name or trademark of a natural or legal person 
established in a third country;"
1,General provisions,3,1.3,Definitions,8,1.3.8,1,"(7) ‘distributor’ means a natural or legal person in the supply chain, other than the provider or 
the importer, that makes an AI system available on the Union market ;"
1,General provisions,3,1.3,Definitions,9,1.3.9,1,"(8) ‘operator’ means a provider, product manufacturer, deployer, authorised representative, 
importer or distributor;"
1,General provisions,3,1.3,Definitions,10,1.3.10,1,"(9) ‘placing on the market’ means the first making available of an AI system or a general-
purpose AI model on the Union market;"
1,General provisions,3,1.3,Definitions,11,1.3.11,1,"(10) ‘making available on the market’ means the supply of an AI system or a general-purpose 
AI model for distribution or use on the Union market in the course of a commercial 
activity, whether in return for payment or free of charge;"
1,General provisions,3,1.3,Definitions,12,1.3.12,1,"(11) ‘putting into service’ means the supply of an AI system by the provider for first use 
directly to the deployer or for own use in the Union  for its intended purpose;"
1,General provisions,3,1.3,Definitions,13,1.3.13,1,"(12) ‘intended purpose’ means the use for which an AI system is intended by the provider, 
including the specific context and conditions of use, as specified in the information 
supplied by the provider in the instructions for use, promotional or sales materials and 
statements, as well as in the technical documentation;"
1,General provisions,3,1.3,Definitions,14,1.3.14,1,"(13) ‘reasonably foreseeable misuse’ means the use of an AI system in a way that is not in 
accordance with its intended purpose, but which may result from reasonably foreseeable 
human behaviour or interaction with other systems, including other AI systems;"
1,General provisions,3,1.3,Definitions,15,1.3.15,1,"(14) ‘safety component’ means a component of a product or of a system which fulfils a safety 
function for that product or system, or the failure or malfunctioning of which endangers the 
health and safety of persons or property;"
1,General provisions,3,1.3,Definitions,16,1.3.16,1,"(15) ‘instructions for use’ means the information provided by the provider to inform the 
deployer of in particular an AI system’s intended purpose and proper use ;"
1,General provisions,3,1.3,Definitions,17,1.3.17,1,"(16) ‘recall of an AI system’ means any measure aiming to achieve the return to the provider or 
taking out of service or disabling the use of an AI system made available to deployers;"
1,General provisions,3,1.3,Definitions,18,1.3.18,1,"(17) ‘withdrawal of an AI system’ means any measure aiming to prevent an AI system in the 
supply chain being made available on the market;"
1,General provisions,3,1.3,Definitions,19,1.3.19,1,"(18) ‘performance of an AI system’ means the ability of an AI system to achieve its intended 
purpose;"
1,General provisions,3,1.3,Definitions,20,1.3.20,1,"(19) ‘notifying authority’ means the national authority responsible for setting up and carrying 
out the necessary procedures for the assessment, designation and notification of conformity 
assessment bodies and for their monitoring;"
1,General provisions,3,1.3,Definitions,21,1.3.21,1,"(20) ‘conformity assessment’ means the process of demonstrating whether the requirements set 
out in Chapter II, Section 2 relating to a high-risk AI system have been fulfilled;"
1,General provisions,3,1.3,Definitions,22,1.3.22,1,"(21) ‘conformity assessment body’ means a body that performs third-party conformity 
assessment activities, including testing, certification and inspection;"
1,General provisions,3,1.3,Definitions,23,1.3.23,1,"(22) ‘notified body’ means a conformity assessment body notified in accordance with this 
Regulation and other relevant Union harmonisation legislation as listed in Section B of 
Annex I;"
1,General provisions,3,1.3,Definitions,24,1.3.24,1,"(23) ‘substantial modification’ means a change to an AI system after its placing on the market 
or putting into service which is not foreseen or planned in the initial conformity 
assessment carried out by the provider and as a result of which the compliance of the AI 
system with the requirements set out in Chapter II, Section 2 is affected or results in a 
modification to the intended purpose for which the AI system has been assessed;"
1,General provisions,3,1.3,Definitions,25,1.3.25,1,"(24) ‘CE marking’ means a marking by which a provider indicates that an AI system is in 
conformity with the requirements set out in Chapter II, Section 2 and other applicable 
Union harmonisation legislation listed in Annex I, providing for its affixing;"
1,General provisions,3,1.3,Definitions,26,1.3.26,1,"(25) ‘post-market monitoring system’ means all activities carried out by providers of AI 
systems to  collect and review experience gained from the use of AI systems they place 
on the market or put into service for the purpose of identifying any need to immediately 
apply any necessary corrective or preventive actions;"
1,General provisions,3,1.3,Definitions,27,1.3.27,1,"(26) ‘market surveillance authority’ means the national authority carrying out the activities and 
taking the measures pursuant to Regulation (EU) 2019/1020;"
1,General provisions,3,1.3,Definitions,28,1.3.28,1,"(27) ‘harmonised standard’ means a harmonised standard as defined in Article 2(1), point (c), of 
Regulation (EU) No 1025/2012;"
1,General provisions,3,1.3,Definitions,29,1.3.29,1,"(28) ‘common specification’ means a set of technical specifications as defined in Article 2, 
point (4) of Regulation (EU) No 1025/2012, providing means to  comply with certain 
requirements  established under this Regulation;"
1,General provisions,3,1.3,Definitions,30,1.3.30,1,"(29) ‘training data’ means data used for training an AI system through fitting its learnable 
parameters ;"
1,General provisions,3,1.3,Definitions,31,1.3.31,1,"(30) ‘validation data’ means data used for providing an evaluation of the trained AI system and 
for tuning its non-learnable parameters and its learning process in order, inter alia, to 
prevent underfitting or overfitting;"
1,General provisions,3,1.3,Definitions,32,1.3.32,1,"(31) ‘validation data set’ means a separate data set or part of the training data set, either as a 
fixed or variable split;"
1,General provisions,3,1.3,Definitions,33,1.3.33,1,"(32) ‘testing data’ means data used for providing an independent evaluation of the  AI system 
in order to confirm the expected performance of that system before its placing on the 
market or putting into service;"
1,General provisions,3,1.3,Definitions,34,1.3.34,1,"(33) ‘input data’ means data provided to or directly acquired by an AI system on the basis of 
which the system produces an output;"
1,General provisions,3,1.3,Definitions,35,1.3.35,1,"(34) ‘biometric data’ means personal data resulting from specific technical processing relating 
to the physical, physiological or behavioural characteristics of a natural person,  such as 
facial images or dactyloscopic data;"
1,General provisions,3,1.3,Definitions,36,1.3.36,1,"(35) ‘biometric identification’ means the automated recognition of physical, physiological, 
behavioural, or psychological human features for the purpose of establishing the identity 
of a natural person by comparing biometric data of that individual to biometric data of 
individuals stored in a database;"
1,General provisions,3,1.3,Definitions,37,1.3.37,1,"(36) ‘biometric verification’ means the automated, one-to-one verification, including 
authentication, of the identity of natural persons by comparing their biometric data to 
previously provided biometric data;"
1,General provisions,3,1.3,Definitions,38,1.3.38,1,"(37) ‘special categories of personal data’ means the categories of personal data referred to in 
Article 9(1) of Regulation (EU) 2016/679, Article 10 of Directive (EU) 2016/680 and 
Article 10(1) of Regulation (EU) 2018/1725;"
1,General provisions,3,1.3,Definitions,39,1.3.39,1,"(38) ‘sensitive operational data’ means operational data related to activities of prevention, 
detection, investigation or prosecution of criminal offences, the disclosure of which 
could jeopardise the integrity of criminal proceedings;"
1,General provisions,3,1.3,Definitions,40,1.3.40,1,"(39) ‘emotion recognition system’ means an AI system for the purpose of identifying or 
inferring emotions or intentions of natural persons on the basis of their biometric data;"
1,General provisions,3,1.3,Definitions,41,1.3.41,1,"(40) ‘biometric categorisation system’ means an AI system for the purpose of assigning natural 
persons to specific categories on the basis of their biometric data, unless it is ancillary to 
another commercial service and strictly necessary for objective technical reasons;"
1,General provisions,3,1.3,Definitions,42,1.3.42,1,"(41) ‘remote biometric identification system’ means an AI system for the purpose of identifying 
natural persons, without their active involvement, typically at a distance through the 
comparison of a person’s biometric data with the biometric data contained in a reference 
database ;"
1,General provisions,3,1.3,Definitions,43,1.3.43,1,"(42) ‘real-time remote biometric identification system’ means a remote biometric identification 
system whereby the capturing of biometric data, the comparison and the identification all 
occur without a significant delay and comprises not only instant identification, but also 
limited short delays in order to avoid circumvention;"
1,General provisions,3,1.3,Definitions,44,1.3.44,1,"(43) ‘post remote biometric identification system’ means a remote biometric identification 
system other than a real-time remote biometric identification system;"
1,General provisions,3,1.3,Definitions,45,1.3.45,1,"(44) ‘publicly accessible space’ means any publicly or privately owned physical place 
accessible to an undetermined number of natural persons, regardless of whether certain 
conditions for access may apply, and regardless of the potential capacity restrictions;"
1,General provisions,3,1.3,Definitions,46,1.3.46,1,(45) ‘law enforcement authority’ means:
1,General provisions,3,1.3,Definitions,46,1.3.46,2,"(a) any public authority competent for the prevention, investigation, detection or 
prosecution of criminal offences or the execution of criminal penalties, including the 
safeguarding against and the prevention of threats to public security; or"
1,General provisions,3,1.3,Definitions,46,1.3.46,3,"(b) any other body or entity entrusted by Member State law to exercise public authority 
and public powers for the purposes of the prevention, investigation, detection or 
prosecution of criminal offences or the execution of criminal penalties, including the 
safeguarding against and the prevention of threats to public security;"
1,General provisions,3,1.3,Definitions,47,1.3.47,1,"(46) ‘law enforcement’ means activities carried out by law enforcement authorities or on their 
behalf for the prevention, investigation, detection or prosecution of criminal offences or 
the execution of criminal penalties, including safeguarding against and preventing threats 
to public security;"
1,General provisions,3,1.3,Definitions,48,1.3.48,1,"(47) ‘AI Office’ means the Commission’s function of contributing to the implementation, 
monitoring and supervision of AI systems and AI governance carried out by the 
European Artificial Intelligence Office established by Commission Decision of 
24.1.2024; references in this Regulation to the AI Office shall be construed as references 
to the Commission;"
1,General provisions,3,1.3,Definitions,49,1.3.49,1,"(48) ‘national competent authority’ means a notifying authority or a market surveillance 
authority;;"
1,General provisions,3,1.3,Definitions,50,1.3.50,1,"(49) ‘serious incident’ means an incident or malfunctioning of an AI system that directly or 
indirectly leads to any of the following:"
1,General provisions,3,1.3,Definitions,50,1.3.50,2,"(a) the death of a person, or serious harm to a person’s health;"
1,General provisions,3,1.3,Definitions,50,1.3.50,3,"(b) a serious and irreversible disruption of the management or operation of critical 
infrastructure."
1,General provisions,3,1.3,Definitions,50,1.3.50,4,"(c) the infringement of obligations under Union law intended to protect fundamental 
rights;"
1,General provisions,3,1.3,Definitions,50,1.3.50,5,(d) serious harm to property or the environment;
1,General provisions,3,1.3,Definitions,51,1.3.51,1,"(50) ‘personal data’ means personal data as defined in Article 4, point (1), of Regulation 
(EU) 2016/679;"
1,General provisions,3,1.3,Definitions,52,1.3.52,1,"(51) ‘non-personal data’ means data other than personal data as defined in Article 4, point 
(1), of Regulation (EU) 2016/679;"
1,General provisions,3,1.3,Definitions,53,1.3.53,1,"(52) ‘profiling’ means profiling as defined in Article 4, point (4), of Regulation (EU) 
2016/679 or, in the case of law enforcement authorities, as defined in Article 3, point (4) 
of Directive (EU) 2016/680 or, in the case of Union institutions, bodies, offices or 
agencies, as defined in Article 3, point (5) of Regulation (EU) 2018/1725;"
1,General provisions,3,1.3,Definitions,54,1.3.54,1,"(53) ‘real-world testing plan’ means a document that describes the objectives, methodology, 
geographical, population and temporal scope, monitoring, organisation and conduct of 
testing in real-world conditions;"
1,General provisions,3,1.3,Definitions,55,1.3.55,1,"(54) ‘sandbox plan’ means a document agreed between the participating provider and the 
competent authority describing the objectives, conditions, timeframe, methodology and 
requirements for the activities carried out within the sandbox;"
1,General provisions,3,1.3,Definitions,56,1.3.56,1,"(55) ‘AI regulatory sandbox’ means a controlled framework set up by a competent authority 
which offers providers or prospective providers of AI systems the possibility to develop, 
train, validate and test, where appropriate in real-world conditions, an innovative AI 
system, pursuant to a sandbox plan for a limited time under regulatory supervision;"
1,General provisions,3,1.3,Definitions,57,1.3.57,1,"(56) ‘AI literacy’ means skills, knowledge and understanding that allows providers, deployers 
and affected persons, taking into account their respective rights and obligations in the 
context of this Regulation, to make an informed deployment of AI systems, as well as to 
gain awareness about the opportunities and risks of AI and possible harm it can cause;"
1,General provisions,3,1.3,Definitions,58,1.3.58,1,"(57) ‘testing in real-world conditions’ means the temporary testing of an AI system for its 
intended purpose in real-world conditions outside a laboratory or otherwise simulated 
environment, with a view to gathering reliable and robust data and to assessing and 
verifying the conformity of the AI system with the requirements of this Regulation and it 
is not considered to be placing the AI system on the market or putting it into service 
within the meaning of this Regulation, provided that all the conditions laid down in 
Article 57 or 60 are fulfilled;"
1,General provisions,3,1.3,Definitions,59,1.3.59,1,"(58) ‘subject’, for the purpose of real-world testing, means a natural person who participates 
in testing in real-world conditions;"
1,General provisions,3,1.3,Definitions,60,1.3.60,1,"(59) ‘informed consent’ means a subject's freely given, specific, unambiguous and voluntary 
expression of his or her willingness to participate in a particular testing in real-world 
conditions, after having been informed of all aspects of the testing that are relevant to 
the subject's decision to participate;"
1,General provisions,3,1.3,Definitions,61,1.3.61,1,"(60) ‘deep fake’ means AI-generated or manipulated image, audio or video content that 
resembles existing persons, objects, places or other entities or events and would falsely 
appear to a person to be authentic or truthful;"
1,General provisions,3,1.3,Definitions,62,1.3.62,1,"(61) ‘widespread infringement’ means any act or omission contrary to Union law protecting 
the interest of individuals, which:"
1,General provisions,3,1.3,Definitions,62,1.3.62,2,"(a) has harmed or is likely to harm the collective interests of individuals residing in at 
least two Member States other than the Member State in which:"
1,General provisions,3,1.3,Definitions,62,1.3.62,3,"(i) the act or omission originated or took place;
(ii) the provider concerned, or, where applicable, its authorised representative is 
located or established; or
(iii) the deployer is established, when the infringement is committed by the 
deployer;
(i) the act or omission originated or took place;
(ii) the provider concerned, or, where applicable, its authorised representative is 
located or established; or
(iii) the deployer is established, when the infringement is committed by the 
deployer;"
1,General provisions,3,1.3,Definitions,62,1.3.62,4,"(b) has caused, causes or is likely to cause harm to the collective interests of 
individuals and has common features, including the same unlawful practice or the 
same interest being infringed, and is occurring concurrently, committed by the 
same operator, in at least three Member States;"
1,General provisions,3,1.3,Definitions,63,1.3.63,1,"(62) ‘critical infrastructure’ means critical infrastructure as defined in Article 2, point (4), of 
Directive (EU) 2022/2557;"
1,General provisions,3,1.3,Definitions,64,1.3.64,1,"(63) ‘general-purpose AI model’ means an AI model, including where such an AI model is 
trained with a large amount of data using self-supervision at scale, that displays 
significant generality and is capable of competently performing a wide range of distinct 
tasks regardless of the way the model is placed on the market and that can be integrated 
into a variety of downstream systems or applications, except AI models that are used for 
research, development or prototyping activities before they are released on the market;"
1,General provisions,3,1.3,Definitions,65,1.3.65,1,"(64) ‘high-impact capabilities’ means capabilities that match or exceed the capabilities 
recorded in the most advanced general-purpose AI models;"
1,General provisions,3,1.3,Definitions,66,1.3.66,1,"(65) ‘systemic risk’ means a risk that is specific to the high-impact capabilities of general-
purpose AI models, having a significant impact on the Union market due to their reach, 
or due to actual or reasonably foreseeable negative effects on public health, safety, 
public security, fundamental rights, or the society as a whole, that can be propagated at 
scale across the value chain;"
1,General provisions,3,1.3,Definitions,67,1.3.67,1,"(66) ‘general-purpose AI system’ means an AI system which is based on a general-purpose 
AI model, that has the capability to serve a variety of purposes, both for direct use as 
well as for integration in other AI systems;"
1,General provisions,3,1.3,Definitions,68,1.3.68,1,"(67) ‘floating-point operation’ or ‘FLOP’ means any mathematical operation or assignment 
involving floating-point numbers, which are a subset of the real numbers typically 
represented on computers by an integer of fixed precision scaled by an integer exponent 
of a fixed base;"
1,General provisions,3,1.3,Definitions,69,1.3.69,1,"(68) ‘downstream provider’ means a provider of an AI system, including a general-purpose 
AI system, which integrates an AI model, regardless of whether the model is provided by 
themselves and vertically integrated or provided by another entity based on contractual 
relations."
1,General provisions,4,1.4,Ai literacy,1,1.4.1,1,"Article 4
AI literacy
Providers and deployers of AI systems shall take measures to ensure, to their best extent, a 
sufficient level of AI literacy of their staff and other persons dealing with the operation and use 
of AI systems on their behalf, taking into account their technical knowledge, experience, 
education and training and the context the AI systems are to be used in, and considering the 
persons or groups of persons on whom the AI systems are to be used."
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,1,2.1.1,1,"Article 5
Prohibited AI Practices"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,1,1. The following AI practices shall be prohibited:
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,2,"(a) the placing on the market, the putting into service or the use of an AI system that 
deploys subliminal techniques beyond a person’s consciousness or purposefully 
manipulative or deceptive techniques, with the objective, or the effect of, materially 
distorting the behaviour of a person or a group of persons by appreciably impairing 
their ability to make an informed decision, thereby causing a person to take a 
decision that that person would not have otherwise taken in a manner that causes or 
is likely to cause that person, another person or group of persons significant harm;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,3,"(b) the placing on the market, the putting into service or the use of an AI system that 
exploits any of the vulnerabilities of a person or a specific group of persons due to 
their age, disability or a specific social or economic situation, with the objective, or 
the effect, of materially distorting the behaviour of that person or a person 
belonging to that group in a manner that causes or is reasonably likely to cause that 
person or another person significant harm;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,4,"(c) the placing on the market, the putting into service or the use of AI systems  for the 
purpose of the evaluation or classification of natural persons or groups of persons 
over a certain period of time based on their social behaviour or known, inferred or 
predicted personal or personality characteristics, with the social score leading to 
either or both of the following:"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,5,"(i) detrimental or unfavourable treatment of certain natural persons or whole 
groups of persons in social contexts that are unrelated to the contexts in which 
the data was originally generated or collected;
(ii) detrimental or unfavourable treatment of certain natural persons or  groups of 
persons that is unjustified or disproportionate to their social behaviour or its 
gravity;
(i) detrimental or unfavourable treatment of certain natural persons or whole 
groups of persons in social contexts that are unrelated to the contexts in which 
the data was originally generated or collected;
(ii) detrimental or unfavourable treatment of certain natural persons or  groups of 
persons that is unjustified or disproportionate to their social behaviour or its 
gravity;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,6,"(d) the placing on the market, the putting into service for this specific purpose, or the 
use of an AI system for making risk assessments of natural persons in order to 
assess or predict the likelihood of a natural person committing a criminal offence, 
based solely on the profiling of a natural person or on assessing their personality 
traits and characteristics; this prohibition shall not apply to AI systems used to 
support the human assessment of the involvement of a person in a criminal 
activity, which is already based on objective and verifiable facts directly linked to a 
criminal activity;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,7,"(e) the placing on the market, the putting into service for this specific purpose, or use 
of AI systems that create or expand facial recognition databases through the 
untargeted scraping of facial images from the internet or CCTV footage;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,8,"(f) the placing on the market, the putting into service for this specific purpose, or the 
use of AI systems to infer emotions of a natural person in the areas of workplace 
and education institutions, except where the use of the AI system is intended to be 
put in place or into the market for medical or safety reasons."
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,9,"(g) the placing on the market, the putting into service for this specific purpose, or the 
use of biometric categorisation systems that categorise individually natural persons 
based on their biometric data to deduce or infer their race, political opinions, trade 
union membership, religious or philosophical beliefs, sex life or sexual 
orientation; this prohibition does not cover any labelling or filtering of lawfully 
acquired biometric datasets, such as images, based on biometric data or 
categorizing of biometric data in the area of law enforcement;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,10,"(h) the use of ‘real-time’ remote biometric identification systems in publicly accessible 
spaces for the purposes of law enforcement,  unless and in so far as such use is 
strictly necessary for one of the following objectives:"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,2,2.1.2,11,"(i) the targeted search for specific  victims of abduction, trafficking in human 
beings or sexual exploitation of human beings, as well as searching for 
missing persons;
(ii) the prevention of a specific, substantial and imminent threat to the life or 
physical safety of natural persons or a genuine and present or genuine and 
foreseeable threat of a terrorist attack;
(iii) the  localisation or identification of a person suspected of having committed 
a criminal offence, for the purpose of conducting a criminal investigation, 
prosecution or executing a criminal penalty for offences referred to in Annex 
II and punishable in the Member State concerned by a custodial sentence or a 
detention order for a maximum period of at least four years;
 
Point (h) of the first subparagraph is without prejudice to Article 9 of Regulation (EU) 
2016/679 for the processing of biometric data for purposes other than law enforcement."
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,3,2.1.3,1,"2. The use of ‘real-time’ remote biometric identification systems in publicly accessible spaces 
for the purposes of law enforcement for any of the objectives referred to in paragraph 1, 
point (h), shall be deployed only for the purposes set out in paragraph 1, point (h), to 
confirm the identity of the specifically targeted individual, and it shall take into account 
the following elements:"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,3,2.1.3,2,"(a) the nature of the situation giving rise to the possible use, in particular the seriousness, 
probability and scale of the harm that would be caused if the system were not used;"
2,Prohibited artificial intelligence practices,1,2.1,Prohibited ai practices,3,2.1.3,3,"(b) the consequences of the use of the system for the rights and freedoms of all persons 
concerned, in particular the seriousness, probability and scale of those consequences.
In addition, the use of ‘real-time’ remote biometric identification systems in publicly 
accessible spaces for the purposes of law enforcement for any of the objectives referred to 
in paragraph 1, point (h), of this Article shall comply with necessary and proportionate 
safeguards and conditions in relation to the use in accordance with national law 
authorising the use thereof, in particular as regards the temporal, geographic and personal 
limitations. The use of the ‘real-time’ remote biometric identification system in publicly 
accessible spaces shall be authorised only if the law enforcement authority has 
completed a fundamental rights impact assessment as provided for in Article 27 and has 
registered the system in the EU database according to Article 49. However, in duly 
justified cases of urgency, the use of such systems may be commenced without the 
registration in the EU database, provided that such registration is completed without 
undue delay."
