node_1|node_2|edge|paragraph_id|chunk_id
ai office|key performance indicators|Ensures reflection|5.6.6|5.6.6
participants to the codes of practice|reporting commitments|Reflect differences in size and capacity|5.6.6|5.6.6
ai office|board|Regularly monitor and evaluate|5.6.7|5.6.7
participants|achievement of objectives|Regularly monitor and evaluate|5.6.7|5.6.7
codes of practice|achievement of objectives|Regularly monitor and evaluate|5.6.7|5.6.7
commission|approval of code of practice|Implementing act|5.6.7|5.6.7
ai office|providers of general-purpose ai models|Invites|5.6.8|5.6.8
providers of general-purpose ai models not presenting systemic risks|codes of practice|Adherence|5.6.8|5.6.8
ai office|codes of practice|Encourages and facilitates review and adaptation|5.6.9|5.6.9
ai office|available standards|Assists in assessment|5.6.9|5.6.9
